Visual Style,Time context,Prefix,Tone,,,Prefix,Shaping,,,Prefix,Composition,,,Prefix,Medium,,,Prefix,Industry
Bauhaus,World War (1900s - 1950s),,Contrasting,True tone,,,Clean line,Geometric,,,Balanced,Simple,Minimal,,All,,,,Construction
Bauhaus,World War (1900s - 1950s),,Contrasting,True tone,,,Clean line,Geometric,,,Balanced,Simple,Minimal,,All,,,,Creative Design
Bauhaus,World War (1900s - 1950s),,Contrasting,True tone,,,Clean line,Geometric,,,Balanced,Simple,Minimal,,All,,,,Education
Pop Art,Cold War (1950s - 1990s),,Vibrant,Humor,Bright,,Squiggly,Comic,Sharp,,Organic,Dynamic,Pattern,^,Watercolor,Sketch,Charcoal,,Creative Design
Pop Art,Cold War (1950s - 1990s),,Vibrant,Humor,Bright,,Squiggly,Comic,Sharp,,Organic,Dynamic,Pattern,^,Watercolor,Sketch,Charcoal,,Entertainment
Pop Art,Cold War (1950s - 1990s),,Vibrant,Humor,Bright,,Squiggly,Comic,Sharp,,Organic,Dynamic,Pattern,^,Watercolor,Sketch,Charcoal,,Leisure
Pop Art,Cold War (1950s - 1990s),,Vibrant,Humor,Bright,,Squiggly,Comic,Sharp,,Organic,Dynamic,Pattern,^,Watercolor,Sketch,Charcoal,,Sport
Pop Art,Cold War (1950s - 1990s),,Vibrant,Humor,Bright,,Squiggly,Comic,Sharp,,Organic,Dynamic,Pattern,^,Watercolor,Sketch,Charcoal,,Mass media
Isometric,Industrial Revolution (1800s - 1900s),,All,,,,Cubic,Geometric,Mini,,Symmetrical,Layered,Grid,^,Collage,,,,Creative Design
Isometric,Industrial Revolution (1800s - 1900s),,All,,,,Cubic,Geometric,Mini,,Symmetrical,Layered,Grid,^,Collage,,,,Education
Isometric,Industrial Revolution (1800s - 1900s),,All,,,,Cubic,Geometric,Mini,,Symmetrical,Layered,Grid,^,Collage,,,,Information
Isometric,Industrial Revolution (1800s - 1900s),,All,,,,Cubic,Geometric,Mini,,Symmetrical,Layered,Grid,^,Collage,,,,Construction
Isometric,Industrial Revolution (1800s - 1900s),,All,,,,Cubic,Geometric,Mini,,Symmetrical,Layered,Grid,^,Collage,,,,Real estate
Isometric,Industrial Revolution (1800s - 1900s),,All,,,,Cubic,Geometric,Mini,,Symmetrical,Layered,Grid,^,Collage,,,,Energy
Isometric,Industrial Revolution (1800s - 1900s),,All,,,,Cubic,Geometric,Mini,,Symmetrical,Layered,Grid,^,Collage,,,,Automotive
Surrealism,World War (1900s - 1950s),,Colorful,Soft,,,All,,,,Asymmetrical,Dynamic,,,All,,,,Creative Design
Surrealism,World War (1900s - 1950s),,Colorful,Soft,,,All,,,,Asymmetrical,Dynamic,,,All,,,,Entertainment
Abstract,Cold War (1950s - 1990s),^,Humor,Subtle,,,Geometric,Rough,,^,Cinematic,,,^,Sketch,,,,
Minimalism,Cold War (1950s - 1990s),,Monochrome,Bold,Contrasting,,Geometric,Clean line,,,Balanced,Contrastive,Minimal,,All,,,^,Entertainment
Memphis,Cold War (1950s - 1990s),,Neon,Bright,Pastel,,Geometric,Stripe,Cute,,Pattern,Chaotic,Grid,,Digital,3D,Collage,,